types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Finger_snapping,finger snaps,100,31,1.0,0.0,11,3,== Biography == | === Musician ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Finger_snapping,finger snaps,100,31,1.0,0.0,11,3,== Biography == | === Musician ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Finger_snapping,finger snaps,100,31,1.0,0.0,11,3,== Biography == | === Musician ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Finger_snapping,finger snaps,100,31,1.0,0.0,11,3,== Biography == | === Musician ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Finger_snapping,finger snaps,100,31,1.0,0.0,11,3,== Biography == | === Musician ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Finger_snapping,finger snaps,100,31,1.0,0.0,11,3,== Biography == | === Musician ===
http://dbpedia.org/class/yago/Formulation107069948,http://dbpedia.org/resource/Finger_snapping,finger snaps,100,31,1.0,0.0,11,3,== Biography == | === Musician ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Finger_snapping,finger snaps,100,31,1.0,0.0,11,3,== Biography == | === Musician ===
http://dbpedia.org/class/yago/WikicatHumanSkills,http://dbpedia.org/resource/Finger_snapping,finger snaps,100,31,1.0,0.0,11,3,== Biography == | === Musician ===
http://dbpedia.org/class/yago/Skill105637558,http://dbpedia.org/resource/Finger_snapping,finger snaps,100,31,1.0,0.0,11,3,== Biography == | === Musician ===
http://dbpedia.org/class/yago/Parlance107081177,http://dbpedia.org/resource/Finger_snapping,finger snaps,100,31,1.0,0.0,11,3,== Biography == | === Musician ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Finger_snapping,finger snaps,100,31,1.0,0.0,11,3,== Biography == | === Musician ===
http://dbpedia.org/class/yago/WikicatEnglishIdioms,http://dbpedia.org/resource/Finger_snapping,finger snaps,100,31,1.0,0.0,11,3,== Biography == | === Musician ===
http://dbpedia.org/class/Book,http://dbpedia.org/resource/Finger_snapping,finger snaps,100,31,1.0,0.0,11,3,== Biography == | === Musician ===
