types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatProvincesOfEthiopia,http://dbpedia.org/resource/Menz,Menz,82,0,0.9776442183806822,0.0228669910780995,0,22,== Discography == | === EP albums ===
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/resource/Menz,Menz,82,0,0.9776442183806822,0.0228669910780995,0,22,== Discography == | === EP albums ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Menz,Menz,82,0,0.9776442183806822,0.0228669910780995,0,22,== Discography == | === EP albums ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Menz,Menz,82,0,0.9776442183806822,0.0228669910780995,0,22,== Discography == | === EP albums ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Menz,Menz,82,0,0.9776442183806822,0.0228669910780995,0,22,== Discography == | === EP albums ===
http://dbpedia.org/class/yago/AdministrativeDistrict108491826,http://dbpedia.org/resource/Menz,Menz,82,0,0.9776442183806822,0.0228669910780995,0,22,== Discography == | === EP albums ===
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/Menz,Menz,82,0,0.9776442183806822,0.0228669910780995,0,22,== Discography == | === EP albums ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Menz,Menz,82,0,0.9776442183806822,0.0228669910780995,0,22,== Discography == | === EP albums ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Menz,Menz,82,0,0.9776442183806822,0.0228669910780995,0,22,== Discography == | === EP albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Menz,Menz,82,0,0.9776442183806822,0.0228669910780995,0,22,== Discography == | === EP albums ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Menz,Menz,82,0,0.9776442183806822,0.0228669910780995,0,22,== Discography == | === EP albums ===
http://dbpedia.org/class/yago/State108654360,http://dbpedia.org/resource/Menz,Menz,82,0,0.9776442183806822,0.0228669910780995,0,22,== Discography == | === EP albums ===
