types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAwardsEstablishedIn1890,http://dbpedia.org/resource/New_Year_Honours,New Year Honours List,807,57,0.9999999999336636,6.634704969192766e-11,0,8,== Professional life == | === OBE ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/New_Year_Honours,New Year Honours List,807,57,0.9999999999336636,6.634704969192766e-11,0,8,== Professional life == | === OBE ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/New_Year_Honours,New Year Honours List,807,57,0.9999999999336636,6.634704969192766e-11,0,8,== Professional life == | === OBE ===
http://dbpedia.org/class/yago/Award106696483,http://dbpedia.org/resource/New_Year_Honours,New Year Honours List,807,57,0.9999999999336636,6.634704969192766e-11,0,8,== Professional life == | === OBE ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/New_Year_Honours,New Year Honours List,807,57,0.9999999999336636,6.634704969192766e-11,0,8,== Professional life == | === OBE ===
http://dbpedia.org/class/yago/Honor114436875,http://dbpedia.org/resource/New_Year_Honours,New Year Honours List,807,57,0.9999999999336636,6.634704969192766e-11,0,8,== Professional life == | === OBE ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/New_Year_Honours,New Year Honours List,807,57,0.9999999999336636,6.634704969192766e-11,0,8,== Professional life == | === OBE ===
http://dbpedia.org/class/yago/Standing113948136,http://dbpedia.org/resource/New_Year_Honours,New Year Honours List,807,57,0.9999999999336636,6.634704969192766e-11,0,8,== Professional life == | === OBE ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/New_Year_Honours,New Year Honours List,807,57,0.9999999999336636,6.634704969192766e-11,0,8,== Professional life == | === OBE ===
http://dbpedia.org/class/yago/Status113945919,http://dbpedia.org/resource/New_Year_Honours,New Year Honours List,807,57,0.9999999999336636,6.634704969192766e-11,0,8,== Professional life == | === OBE ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/New_Year_Honours,New Year Honours List,807,57,0.9999999999336636,6.634704969192766e-11,0,8,== Professional life == | === OBE ===
http://dbpedia.org/class/yago/WikicatNewYearHonours,http://dbpedia.org/resource/New_Year_Honours,New Year Honours List,807,57,0.9999999999336636,6.634704969192766e-11,0,8,== Professional life == | === OBE ===
