types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/WikicatRadioSidekicks,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/Buddy109877951,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/Colossus109938991,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/Comedian109940146,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/Friend110112591,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/ImportantPerson110200781,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/WikicatFilmSidekicks,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/WikicatTeenTitansInOtherMedia,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
http://dbpedia.org/class/yago/WikicatTelevisionSidekicks,http://dbpedia.org/resource/Robin_in_other_media,Robin Blake,49,28,0.9999999999081126,0.0,0,30,== Filmography == | === Theatre ===
