types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/class/yago/WikicatLawEnforcementAgenciesOfCalifornia,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/class/yago/WikicatSheriffs'DepartmentsOfCalifornia,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/class/yago/AdministrativeUnit108077292,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/class/yago/Agency108337324,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/class/yago/Department108114861,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/class/yago/Division108220714,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/class/yago/LawEnforcementAgency108348815,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1850,http://dbpedia.org/resource/Los_Angeles_County_Sheriff's_Department,LASD,554,196,1.0,0.0,7,50,== Legal issues == | === 2011 controversies ===
