types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Jamaican_Patois,Jamaican Patois,354,47,1.0,0.0,5,24,== Cultural influence == | === Fine arts ===
http://dbpedia.org/ontology/Language,http://dbpedia.org/resource/Jamaican_Patois,Jamaican Patois,354,47,1.0,0.0,5,24,== Cultural influence == | === Fine arts ===
http://dbpedia.org/class/yago/WikicatPidginsAndCreoles,http://dbpedia.org/resource/Jamaican_Patois,Jamaican Patois,354,47,1.0,0.0,5,24,== Cultural influence == | === Fine arts ===
http://umbel.org/umbel/rc/Language,http://dbpedia.org/resource/Jamaican_Patois,Jamaican Patois,354,47,1.0,0.0,5,24,== Cultural influence == | === Fine arts ===
http://dbpedia.org/class/yago/WikicatLanguagesOfJamaica,http://dbpedia.org/resource/Jamaican_Patois,Jamaican Patois,354,47,1.0,0.0,5,24,== Cultural influence == | === Fine arts ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Jamaican_Patois,Jamaican Patois,354,47,1.0,0.0,5,24,== Cultural influence == | === Fine arts ===
http://dbpedia.org/class/yago/ArtificialLanguage106894544,http://dbpedia.org/resource/Jamaican_Patois,Jamaican Patois,354,47,1.0,0.0,5,24,== Cultural influence == | === Fine arts ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Jamaican_Patois,Jamaican Patois,354,47,1.0,0.0,5,24,== Cultural influence == | === Fine arts ===
http://dbpedia.org/class/yago/Language106282651,http://dbpedia.org/resource/Jamaican_Patois,Jamaican Patois,354,47,1.0,0.0,5,24,== Cultural influence == | === Fine arts ===
http://dbpedia.org/class/yago/Pidgin106905680,http://dbpedia.org/resource/Jamaican_Patois,Jamaican Patois,354,47,1.0,0.0,5,24,== Cultural influence == | === Fine arts ===
http://dbpedia.org/class/yago/WikicatEnglish-basedPidginsAndCreoles,http://dbpedia.org/resource/Jamaican_Patois,Jamaican Patois,354,47,1.0,0.0,5,24,== Cultural influence == | === Fine arts ===
