types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/State_Committee_for_Cinematography,Goskino,150,23,0.9999999999990052,0.0,9,63,== Unproduced screenplays == | === Hoffmanniana ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/State_Committee_for_Cinematography,Goskino,150,23,0.9999999999990052,0.0,9,63,== Unproduced screenplays == | === Hoffmanniana ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/State_Committee_for_Cinematography,Goskino,150,23,0.9999999999990052,0.0,9,63,== Unproduced screenplays == | === Hoffmanniana ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/State_Committee_for_Cinematography,Goskino,150,23,0.9999999999990052,0.0,9,63,== Unproduced screenplays == | === Hoffmanniana ===
http://dbpedia.org/class/yago/AdministrativeUnit108077292,http://dbpedia.org/resource/State_Committee_for_Cinematography,Goskino,150,23,0.9999999999990052,0.0,9,63,== Unproduced screenplays == | === Hoffmanniana ===
http://dbpedia.org/class/yago/Committee108324514,http://dbpedia.org/resource/State_Committee_for_Cinematography,Goskino,150,23,0.9999999999990052,0.0,9,63,== Unproduced screenplays == | === Hoffmanniana ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/State_Committee_for_Cinematography,Goskino,150,23,0.9999999999990052,0.0,9,63,== Unproduced screenplays == | === Hoffmanniana ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/State_Committee_for_Cinematography,Goskino,150,23,0.9999999999990052,0.0,9,63,== Unproduced screenplays == | === Hoffmanniana ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/State_Committee_for_Cinematography,Goskino,150,23,0.9999999999990052,0.0,9,63,== Unproduced screenplays == | === Hoffmanniana ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/State_Committee_for_Cinematography,Goskino,150,23,0.9999999999990052,0.0,9,63,== Unproduced screenplays == | === Hoffmanniana ===
http://dbpedia.org/class/yago/WikicatStateCommitteesOfTheSovietUnion,http://dbpedia.org/resource/State_Committee_for_Cinematography,Goskino,150,23,0.9999999999990052,0.0,9,63,== Unproduced screenplays == | === Hoffmanniana ===
