types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Nacionalismo_(Argentine_political_movement),nacionalismo,25,98,0.9619987193812022,0.0,0,15,== Publications == | === Books ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Nacionalismo_(Argentine_political_movement),nacionalismo,25,98,0.9619987193812022,0.0,0,15,== Publications == | === Books ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Nacionalismo_(Argentine_political_movement),nacionalismo,25,98,0.9619987193812022,0.0,0,15,== Publications == | === Books ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Nacionalismo_(Argentine_political_movement),nacionalismo,25,98,0.9619987193812022,0.0,0,15,== Publications == | === Books ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Nacionalismo_(Argentine_political_movement),nacionalismo,25,98,0.9619987193812022,0.0,0,15,== Publications == | === Books ===
http://dbpedia.org/class/yago/WikicatNationalistParties,http://dbpedia.org/resource/Nacionalismo_(Argentine_political_movement),nacionalismo,25,98,0.9619987193812022,0.0,0,15,== Publications == | === Books ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Nacionalismo_(Argentine_political_movement),nacionalismo,25,98,0.9619987193812022,0.0,0,15,== Publications == | === Books ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Nacionalismo_(Argentine_political_movement),nacionalismo,25,98,0.9619987193812022,0.0,0,15,== Publications == | === Books ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Nacionalismo_(Argentine_political_movement),nacionalismo,25,98,0.9619987193812022,0.0,0,15,== Publications == | === Books ===
http://dbpedia.org/class/yago/Party108256968,http://dbpedia.org/resource/Nacionalismo_(Argentine_political_movement),nacionalismo,25,98,0.9619987193812022,0.0,0,15,== Publications == | === Books ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Nacionalismo_(Argentine_political_movement),nacionalismo,25,98,0.9619987193812022,0.0,0,15,== Publications == | === Books ===
