types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatUnitsOfLinguisticMorphology,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Class107997703,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Collection107951464,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/DefiniteQuantity113576101,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Explanation105793000,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/GrammaticalCategory106309383,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/HigherCognitiveProcess105770664,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/PartOfSpeech106317464,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Process105701363,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Theory105989479,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/Thinking105770926,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/UnitOfMeasurement113583724,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/WikicatPartsOfSpeech,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
http://dbpedia.org/class/yago/WikicatTheoriesOfLanguage,http://dbpedia.org/resource/Clitic,Enclitic,1084,79,0.9999999999996588,0.0,1,24,== Career == | === Poetry ===
