types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Clydesdale_horse,Clydesdale horse,244,2,1.0,0.0,7,29,== 100th Birthday Walk == | ==== Namesakes ====
http://dbpedia.org/class/yago/AnimalGroup107993929,http://dbpedia.org/resource/Clydesdale_horse,Clydesdale horse,244,2,1.0,0.0,7,29,== 100th Birthday Walk == | ==== Namesakes ====
http://dbpedia.org/class/yago/BiologicalGroup107941170,http://dbpedia.org/resource/Clydesdale_horse,Clydesdale horse,244,2,1.0,0.0,7,29,== 100th Birthday Walk == | ==== Namesakes ====
http://dbpedia.org/class/yago/Breed108101410,http://dbpedia.org/resource/Clydesdale_horse,Clydesdale horse,244,2,1.0,0.0,7,29,== 100th Birthday Walk == | ==== Namesakes ====
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Clydesdale_horse,Clydesdale horse,244,2,1.0,0.0,7,29,== 100th Birthday Walk == | ==== Namesakes ====
http://dbpedia.org/class/yago/WikicatHorseBreeds,http://dbpedia.org/resource/Clydesdale_horse,Clydesdale horse,244,2,1.0,0.0,7,29,== 100th Birthday Walk == | ==== Namesakes ====
http://dbpedia.org/class/yago/WikicatHorseBreedsOriginatingInScotland,http://dbpedia.org/resource/Clydesdale_horse,Clydesdale horse,244,2,1.0,0.0,7,29,== 100th Birthday Walk == | ==== Namesakes ====
http://dbpedia.org/ontology/Mammal,http://dbpedia.org/resource/Clydesdale_horse,Clydesdale horse,244,2,1.0,0.0,7,29,== 100th Birthday Walk == | ==== Namesakes ====
http://dbpedia.org/class/yago/TaxonomicGroup107992450,http://dbpedia.org/resource/Clydesdale_horse,Clydesdale horse,244,2,1.0,0.0,7,29,== 100th Birthday Walk == | ==== Namesakes ====
http://dbpedia.org/class/yago/Variety108101085,http://dbpedia.org/resource/Clydesdale_horse,Clydesdale horse,244,2,1.0,0.0,7,29,== 100th Birthday Walk == | ==== Namesakes ====
http://dbpedia.org/class/yago/WikicatConservationPriorityBreedsOfTheLivestockConservancy,http://dbpedia.org/resource/Clydesdale_horse,Clydesdale horse,244,2,1.0,0.0,7,29,== 100th Birthday Walk == | ==== Namesakes ====
