types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Médecins_Sans_Frontières,Doctors Without Borders,1399,52,0.9999999999999858,0.0,4,6,== Career == | === Solo work ===
http://dbpedia.org/ontology/University,http://dbpedia.org/resource/Médecins_Sans_Frontières,Doctors Without Borders,1399,52,0.9999999999999858,0.0,4,6,== Career == | === Solo work ===
http://dbpedia.org/class/yago/WikicatHealthCharities,http://dbpedia.org/resource/Médecins_Sans_Frontières,Doctors Without Borders,1399,52,0.9999999999999858,0.0,4,6,== Career == | === Solo work ===
http://dbpedia.org/class/yago/WikicatHumanitarianAidOrganizations,http://dbpedia.org/resource/Médecins_Sans_Frontières,Doctors Without Borders,1399,52,0.9999999999999858,0.0,4,6,== Career == | === Solo work ===
http://dbpedia.org/class/yago/WikicatInternationalCharities,http://dbpedia.org/resource/Médecins_Sans_Frontières,Doctors Without Borders,1399,52,0.9999999999999858,0.0,4,6,== Career == | === Solo work ===
http://dbpedia.org/class/yago/WikicatInternationalNongovernmentalOrganizations,http://dbpedia.org/resource/Médecins_Sans_Frontières,Doctors Without Borders,1399,52,0.9999999999999858,0.0,4,6,== Career == | === Solo work ===
http://dbpedia.org/class/yago/WikicatInternationalOrganizations,http://dbpedia.org/resource/Médecins_Sans_Frontières,Doctors Without Borders,1399,52,0.9999999999999858,0.0,4,6,== Career == | === Solo work ===
http://dbpedia.org/class/yago/WikicatInternationalVolunteerOrganizations,http://dbpedia.org/resource/Médecins_Sans_Frontières,Doctors Without Borders,1399,52,0.9999999999999858,0.0,4,6,== Career == | === Solo work ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Médecins_Sans_Frontières,Doctors Without Borders,1399,52,0.9999999999999858,0.0,4,6,== Career == | === Solo work ===
http://dbpedia.org/class/yago/WikicatCharitiesBasedInFrance,http://dbpedia.org/resource/Médecins_Sans_Frontières,Doctors Without Borders,1399,52,0.9999999999999858,0.0,4,6,== Career == | === Solo work ===
http://dbpedia.org/class/yago/WorldOrganization108294696,http://dbpedia.org/resource/Médecins_Sans_Frontières,Doctors Without Borders,1399,52,0.9999999999999858,0.0,4,6,== Career == | === Solo work ===
