types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Tridentine_Mass,Tridentine Mass,1001,44,1.0,0.0,8,7,== Early life == | === Religion ===
http://dbpedia.org/class/yago/WikicatCatholicLiturgicalRites,http://dbpedia.org/resource/Tridentine_Mass,Tridentine Mass,1001,44,1.0,0.0,8,7,== Early life == | === Religion ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Tridentine_Mass,Tridentine Mass,1001,44,1.0,0.0,8,7,== Early life == | === Religion ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Tridentine_Mass,Tridentine Mass,1001,44,1.0,0.0,8,7,== Early life == | === Religion ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Tridentine_Mass,Tridentine Mass,1001,44,1.0,0.0,8,7,== Early life == | === Religion ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Tridentine_Mass,Tridentine Mass,1001,44,1.0,0.0,8,7,== Early life == | === Religion ===
http://dbpedia.org/class/yago/Ceremony101027379,http://dbpedia.org/resource/Tridentine_Mass,Tridentine Mass,1001,44,1.0,0.0,8,7,== Early life == | === Religion ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Tridentine_Mass,Tridentine Mass,1001,44,1.0,0.0,8,7,== Early life == | === Religion ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Tridentine_Mass,Tridentine Mass,1001,44,1.0,0.0,8,7,== Early life == | === Religion ===
http://dbpedia.org/class/yago/ReligiousCeremony101028082,http://dbpedia.org/resource/Tridentine_Mass,Tridentine Mass,1001,44,1.0,0.0,8,7,== Early life == | === Religion ===
http://dbpedia.org/class/yago/Rite101029406,http://dbpedia.org/resource/Tridentine_Mass,Tridentine Mass,1001,44,1.0,0.0,8,7,== Early life == | === Religion ===
