types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Earmark_(politics),Earmarks,324,16,0.9969612357454036,0.0,1,20,== Bibliography == | === Chapters ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Earmark_(politics),Earmarks,324,16,0.9969612357454036,0.0,1,20,== Bibliography == | === Chapters ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Earmark_(politics),Earmarks,324,16,0.9969612357454036,0.0,1,20,== Bibliography == | === Chapters ===
http://dbpedia.org/class/yago/Commerce101090446,http://dbpedia.org/resource/Earmark_(politics),Earmarks,324,16,0.9969612357454036,0.0,1,20,== Bibliography == | === Chapters ===
http://dbpedia.org/class/yago/CommercialEnterprise101094725,http://dbpedia.org/resource/Earmark_(politics),Earmarks,324,16,0.9969612357454036,0.0,1,20,== Bibliography == | === Chapters ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Earmark_(politics),Earmarks,324,16,0.9969612357454036,0.0,1,20,== Bibliography == | === Chapters ===
http://dbpedia.org/class/yago/Finance101098698,http://dbpedia.org/resource/Earmark_(politics),Earmarks,324,16,0.9969612357454036,0.0,1,20,== Bibliography == | === Chapters ===
http://dbpedia.org/class/yago/GroupAction101080366,http://dbpedia.org/resource/Earmark_(politics),Earmarks,324,16,0.9969612357454036,0.0,1,20,== Bibliography == | === Chapters ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Earmark_(politics),Earmarks,324,16,0.9969612357454036,0.0,1,20,== Bibliography == | === Chapters ===
http://dbpedia.org/class/yago/Transaction101106808,http://dbpedia.org/resource/Earmark_(politics),Earmarks,324,16,0.9969612357454036,0.0,1,20,== Bibliography == | === Chapters ===
http://dbpedia.org/class/yago/WikicatGovernmentFinancesInTheUnitedStates,http://dbpedia.org/resource/Earmark_(politics),Earmarks,324,16,0.9969612357454036,0.0,1,20,== Bibliography == | === Chapters ===
