types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/TelevisionEpisode,http://dbpedia.org/resource/You_Only_Move_Twice,Hank Scorpio,167,111,1.0,0.0,8,11,== Career == | === 1981–1999 ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/You_Only_Move_Twice,Hank Scorpio,167,111,1.0,0.0,8,11,== Career == | === 1981–1999 ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/You_Only_Move_Twice,Hank Scorpio,167,111,1.0,0.0,8,11,== Career == | === 1981–1999 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/You_Only_Move_Twice,Hank Scorpio,167,111,1.0,0.0,8,11,== Career == | === 1981–1999 ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/You_Only_Move_Twice,Hank Scorpio,167,111,1.0,0.0,8,11,== Career == | === 1981–1999 ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/You_Only_Move_Twice,Hank Scorpio,167,111,1.0,0.0,8,11,== Career == | === 1981–1999 ===
http://dbpedia.org/class/yago/Episode106396330,http://dbpedia.org/resource/You_Only_Move_Twice,Hank Scorpio,167,111,1.0,0.0,8,11,== Career == | === 1981–1999 ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/You_Only_Move_Twice,Hank Scorpio,167,111,1.0,0.0,8,11,== Career == | === 1981–1999 ===
http://dbpedia.org/class/yago/Section106392001,http://dbpedia.org/resource/You_Only_Move_Twice,Hank Scorpio,167,111,1.0,0.0,8,11,== Career == | === 1981–1999 ===
http://dbpedia.org/class/yago/Wikicat1996TelevisionEpisodes,http://dbpedia.org/resource/You_Only_Move_Twice,Hank Scorpio,167,111,1.0,0.0,8,11,== Career == | === 1981–1999 ===
http://dbpedia.org/class/yago/WikicatTheSimpsons(season8)Episodes,http://dbpedia.org/resource/You_Only_Move_Twice,Hank Scorpio,167,111,1.0,0.0,8,11,== Career == | === 1981–1999 ===
