types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/WikicatPoliticalSlogans,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/WikicatColdWarSpeeches,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/WikicatUnitedStatesPresidentialSpeeches,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/WikicatQuotations,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Address107238694,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Citation106763681,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Comment106762711,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Motto107152259,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Note106763273,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Saying107151380,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Speech107109196,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/SpeechAct107160883,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/Statement106722453,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/WikicatSpeeches,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
http://dbpedia.org/class/yago/WikicatSpeechesByJohnF.Kennedy,http://dbpedia.org/resource/Ich_bin_ein_Berliner,Ich Bin Ein Berliner,137,22,1.0,0.0,0,13,== Discography == | === Compilations ===
