types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Pablo_Ablanedo,Pablo Ablanedo,2,0,0.9999920301688954,0.0,0,52,== Discography == | === As sideman ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/André_White,Andre White,5,0,0.9999972289909516,0.0,0,86,== Discography == | === As sideman ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/André_White,Andre White,5,0,0.9999972289909516,0.0,0,86,== Discography == | === As sideman ===
