types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatChineseLegends,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Couple113743605,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/DefiniteQuantity113576101,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Digit113741022,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Fiction106367107,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Integer113728499,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Legend106371413,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Number113582013,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Story106369829,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Two113743269,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatFictionalDuos,http://dbpedia.org/resource/Butterfly_Lovers,Zhu Yingtai,99,101,1.0,0.0,1,10,== Career == | === 2000s ===
