types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/WikicatGreekInventions,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/WikicatMathematicalTheorems,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/Equation106669864,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/Figure113862780,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/Invention105633385,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/MathematicalStatement106732169,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/PlaneFigure113863186,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/Polygon113866144,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/Proposition106750804,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/Shape100027807,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/Statement106722453,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/Theorem106752293,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/Triangle113879320,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/WikicatEquations,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/WikicatTheorems,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/WikicatTheoremsInGeometry,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/WikicatTheoremsInPlaneGeometry,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
http://dbpedia.org/class/yago/WikicatTriangles,http://dbpedia.org/resource/Pythagorean_theorem,Pythagoras,701,65,0.9232888799317822,0.0830530222983,1,51,== Attributed discoveries == | === In mathematics ===
