types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Egmont_(Beethoven),Egmont Overture,45,57,0.9999999803368668,0.0,3,15,== History == | === Boston Philharmonic ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Egmont_(Beethoven),Egmont Overture,45,57,0.9999999803368668,0.0,3,15,== History == | === Boston Philharmonic ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Egmont_(Beethoven),Egmont Overture,45,57,0.9999999803368668,0.0,3,15,== History == | === Boston Philharmonic ===
http://dbpedia.org/class/yago/Adaptation106408779,http://dbpedia.org/resource/Egmont_(Beethoven),Egmont Overture,45,57,0.9999999803368668,0.0,3,15,== History == | === Boston Philharmonic ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Egmont_(Beethoven),Egmont Overture,45,57,0.9999999803368668,0.0,3,15,== History == | === Boston Philharmonic ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Egmont_(Beethoven),Egmont Overture,45,57,0.9999999803368668,0.0,3,15,== History == | === Boston Philharmonic ===
http://dbpedia.org/class/yago/WikicatOvertures,http://dbpedia.org/resource/Egmont_(Beethoven),Egmont Overture,45,57,0.9999999803368668,0.0,3,15,== History == | === Boston Philharmonic ===
http://dbpedia.org/class/yago/WikicatAdaptationsOfWorksByJohannWolfgangVonGoethe,http://dbpedia.org/resource/Egmont_(Beethoven),Egmont Overture,45,57,0.9999999803368668,0.0,3,15,== History == | === Boston Philharmonic ===
http://dbpedia.org/class/yago/Overture107040820,http://dbpedia.org/resource/Egmont_(Beethoven),Egmont Overture,45,57,0.9999999803368668,0.0,3,15,== History == | === Boston Philharmonic ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Egmont_(Beethoven),Egmont Overture,45,57,0.9999999803368668,0.0,3,15,== History == | === Boston Philharmonic ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Egmont_(Beethoven),Egmont Overture,45,57,0.9999999803368668,0.0,3,15,== History == | === Boston Philharmonic ===
