types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatCourts,http://dbpedia.org/resource/High_Court_of_Singapore,High Court,929,21,0.6628493908172135,0.3074817596788772,0,28,== History == | === Aftermath ===
http://dbpedia.org/class/yago/WikicatCourtsInSingapore,http://dbpedia.org/resource/High_Court_of_Singapore,High Court,929,21,0.6628493908172135,0.3074817596788772,0,28,== History == | === Aftermath ===
http://dbpedia.org/class/yago/WikicatSingaporeanAppellateCourts,http://dbpedia.org/resource/High_Court_of_Singapore,High Court,929,21,0.6628493908172135,0.3074817596788772,0,28,== History == | === Aftermath ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/High_Court_of_Singapore,High Court,929,21,0.6628493908172135,0.3074817596788772,0,28,== History == | === Aftermath ===
http://dbpedia.org/class/yago/AppellateCourt108330106,http://dbpedia.org/resource/High_Court_of_Singapore,High Court,929,21,0.6628493908172135,0.3074817596788772,0,28,== History == | === Aftermath ===
http://dbpedia.org/class/yago/Assembly108163792,http://dbpedia.org/resource/High_Court_of_Singapore,High Court,929,21,0.6628493908172135,0.3074817596788772,0,28,== History == | === Aftermath ===
http://dbpedia.org/class/yago/Court108329453,http://dbpedia.org/resource/High_Court_of_Singapore,High Court,929,21,0.6628493908172135,0.3074817596788772,0,28,== History == | === Aftermath ===
http://dbpedia.org/class/yago/Gathering107975026,http://dbpedia.org/resource/High_Court_of_Singapore,High Court,929,21,0.6628493908172135,0.3074817596788772,0,28,== History == | === Aftermath ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/High_Court_of_Singapore,High Court,929,21,0.6628493908172135,0.3074817596788772,0,28,== History == | === Aftermath ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/High_Court_of_Singapore,High Court,929,21,0.6628493908172135,0.3074817596788772,0,28,== History == | === Aftermath ===
http://dbpedia.org/class/yago/SupremeCourt108336188,http://dbpedia.org/resource/High_Court_of_Singapore,High Court,929,21,0.6628493908172135,0.3074817596788772,0,28,== History == | === Aftermath ===
