types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Ethiopian_Orthodox_Tewahedo_Church,Ethiopian Orthodox Church,2615,185,1.0,0.0,1,20,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatChristianDenominations,http://dbpedia.org/resource/Ethiopian_Orthodox_Tewahedo_Church,Ethiopian Orthodox Church,2615,185,1.0,0.0,1,20,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Ethiopian_Orthodox_Tewahedo_Church,Ethiopian Orthodox Church,2615,185,1.0,0.0,1,20,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Ethiopian_Orthodox_Tewahedo_Church,Ethiopian Orthodox Church,2615,185,1.0,0.0,1,20,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Ethiopian_Orthodox_Tewahedo_Church,Ethiopian Orthodox Church,2615,185,1.0,0.0,1,20,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatReligiousOrganizationsEstablishedIn1959,http://dbpedia.org/resource/Ethiopian_Orthodox_Tewahedo_Church,Ethiopian Orthodox Church,2615,185,1.0,0.0,1,20,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatSeventh-dayDenominations,http://dbpedia.org/resource/Ethiopian_Orthodox_Tewahedo_Church,Ethiopian Orthodox Church,2615,185,1.0,0.0,1,20,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Ethiopian_Orthodox_Tewahedo_Church,Ethiopian Orthodox Church,2615,185,1.0,0.0,1,20,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Denomination108146782,http://dbpedia.org/resource/Ethiopian_Orthodox_Tewahedo_Church,Ethiopian Orthodox Church,2615,185,1.0,0.0,1,20,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Ethiopian_Orthodox_Tewahedo_Church,Ethiopian Orthodox Church,2615,185,1.0,0.0,1,20,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/NongovernmentalOrganization108009834,http://dbpedia.org/resource/Ethiopian_Orthodox_Tewahedo_Church,Ethiopian Orthodox Church,2615,185,1.0,0.0,1,20,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Ethiopian_Orthodox_Tewahedo_Church,Ethiopian Orthodox Church,2615,185,1.0,0.0,1,20,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Ethiopian_Orthodox_Tewahedo_Church,Ethiopian Orthodox Church,2615,185,1.0,0.0,1,20,== Personal life == | === Religion ===
