types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Kentucky_Exposition_Center,Kentucky Exposition Center,53,127,1.0,0.0,1,125,== Death == | === Memorial ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Kentucky_Exposition_Center,Kentucky Exposition Center,53,127,1.0,0.0,1,125,== Death == | === Memorial ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Kentucky_Exposition_Center,Kentucky Exposition Center,53,127,1.0,0.0,1,125,== Death == | === Memorial ===
http://dbpedia.org/class/yago/Area108497294,http://dbpedia.org/resource/Kentucky_Exposition_Center,Kentucky Exposition Center,53,127,1.0,0.0,1,125,== Death == | === Memorial ===
http://dbpedia.org/class/yago/Center108523483,http://dbpedia.org/resource/Kentucky_Exposition_Center,Kentucky Exposition Center,53,127,1.0,0.0,1,125,== Death == | === Memorial ===
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Kentucky_Exposition_Center,Kentucky Exposition Center,53,127,1.0,0.0,1,125,== Death == | === Memorial ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Kentucky_Exposition_Center,Kentucky Exposition Center,53,127,1.0,0.0,1,125,== Death == | === Memorial ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Kentucky_Exposition_Center,Kentucky Exposition Center,53,127,1.0,0.0,1,125,== Death == | === Memorial ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Kentucky_Exposition_Center,Kentucky Exposition Center,53,127,1.0,0.0,1,125,== Death == | === Memorial ===
http://dbpedia.org/class/yago/WikicatConventionCentersInKentucky,http://dbpedia.org/resource/Kentucky_Exposition_Center,Kentucky Exposition Center,53,127,1.0,0.0,1,125,== Death == | === Memorial ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Kentucky_Exposition_Center,Kentucky Exposition Center,53,127,1.0,0.0,1,125,== Death == | === Memorial ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Kentucky_Exposition_Center,Kentucky Exposition Center,53,127,1.0,0.0,1,125,== Death == | === Memorial ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Kentucky_Exposition_Center,Kentucky Exposition Center,53,127,1.0,0.0,1,125,== Death == | === Memorial ===
