types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Scamper_(horse),Scamper,42,18,0.9770268289498442,0.0,0,33,== Filmography == | === Voice ===
http://dbpedia.org/class/yago/Animal100015388,http://dbpedia.org/resource/Scamper_(horse),Scamper,42,18,0.9770268289498442,0.0,0,33,== Filmography == | === Voice ===
http://dbpedia.org/class/yago/Chordate101466257,http://dbpedia.org/resource/Scamper_(horse),Scamper,42,18,0.9770268289498442,0.0,0,33,== Filmography == | === Voice ===
http://dbpedia.org/class/yago/Equine102374149,http://dbpedia.org/resource/Scamper_(horse),Scamper,42,18,0.9770268289498442,0.0,0,33,== Filmography == | === Voice ===
http://dbpedia.org/class/yago/Horse102374451,http://dbpedia.org/resource/Scamper_(horse),Scamper,42,18,0.9770268289498442,0.0,0,33,== Filmography == | === Voice ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Scamper_(horse),Scamper,42,18,0.9770268289498442,0.0,0,33,== Filmography == | === Voice ===
http://dbpedia.org/class/yago/Mammal101861778,http://dbpedia.org/resource/Scamper_(horse),Scamper,42,18,0.9770268289498442,0.0,0,33,== Filmography == | === Voice ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Scamper_(horse),Scamper,42,18,0.9770268289498442,0.0,0,33,== Filmography == | === Voice ===
http://dbpedia.org/class/yago/Odd-toedUngulate102373336,http://dbpedia.org/resource/Scamper_(horse),Scamper,42,18,0.9770268289498442,0.0,0,33,== Filmography == | === Voice ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Scamper_(horse),Scamper,42,18,0.9770268289498442,0.0,0,33,== Filmography == | === Voice ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Scamper_(horse),Scamper,42,18,0.9770268289498442,0.0,0,33,== Filmography == | === Voice ===
http://dbpedia.org/class/yago/Placental101886756,http://dbpedia.org/resource/Scamper_(horse),Scamper,42,18,0.9770268289498442,0.0,0,33,== Filmography == | === Voice ===
http://dbpedia.org/class/yago/Ungulate102370806,http://dbpedia.org/resource/Scamper_(horse),Scamper,42,18,0.9770268289498442,0.0,0,33,== Filmography == | === Voice ===
http://dbpedia.org/class/yago/Vertebrate101471682,http://dbpedia.org/resource/Scamper_(horse),Scamper,42,18,0.9770268289498442,0.0,0,33,== Filmography == | === Voice ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Scamper_(horse),Scamper,42,18,0.9770268289498442,0.0,0,33,== Filmography == | === Voice ===
