types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/My_Yiddishe_Momme,My Yiddishe Momme,20,28,1.0,0.0,9,7,== Career == | === Stage ===
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/My_Yiddishe_Momme,My Yiddishe Momme,20,28,1.0,0.0,9,7,== Career == | === Stage ===
http://dbpedia.org/class/yago/WikicatJohnFarnhamSongs,http://dbpedia.org/resource/My_Yiddishe_Momme,My Yiddishe Momme,20,28,1.0,0.0,9,7,== Career == | === Stage ===
http://dbpedia.org/class/yago/WikicatBelleBakerSongs,http://dbpedia.org/resource/My_Yiddishe_Momme,My Yiddishe Momme,20,28,1.0,0.0,9,7,== Career == | === Stage ===
http://dbpedia.org/class/yago/WikicatYiddishSongs,http://dbpedia.org/resource/My_Yiddishe_Momme,My Yiddishe Momme,20,28,1.0,0.0,9,7,== Career == | === Stage ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/My_Yiddishe_Momme,My Yiddishe Momme,20,28,1.0,0.0,9,7,== Career == | === Stage ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/My_Yiddishe_Momme,My Yiddishe Momme,20,28,1.0,0.0,9,7,== Career == | === Stage ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/My_Yiddishe_Momme,My Yiddishe Momme,20,28,1.0,0.0,9,7,== Career == | === Stage ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/My_Yiddishe_Momme,My Yiddishe Momme,20,28,1.0,0.0,9,7,== Career == | === Stage ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/My_Yiddishe_Momme,My Yiddishe Momme,20,28,1.0,0.0,9,7,== Career == | === Stage ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/My_Yiddishe_Momme,My Yiddishe Momme,20,28,1.0,0.0,9,7,== Career == | === Stage ===
http://dbpedia.org/class/yago/Wikicat1925Songs,http://dbpedia.org/resource/My_Yiddishe_Momme,My Yiddishe Momme,20,28,1.0,0.0,9,7,== Career == | === Stage ===
http://dbpedia.org/class/yago/WikicatSophieTuckerSongs,http://dbpedia.org/resource/My_Yiddishe_Momme,My Yiddishe Momme,20,28,1.0,0.0,9,7,== Career == | === Stage ===
http://dbpedia.org/class/yago/WikicatTomJonesSongs,http://dbpedia.org/resource/My_Yiddishe_Momme,My Yiddishe Momme,20,28,1.0,0.0,9,7,== Career == | === Stage ===
