types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatBarAssociations,http://dbpedia.org/resource/Bar_Council_of_Ireland,Irish bar,330,78,0.9159462453033768,0.078227785569713,2,5,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/WikicatProfessionalAssociationsBasedInIreland,http://dbpedia.org/resource/Bar_Council_of_Ireland,Irish bar,330,78,0.9159462453033768,0.078227785569713,2,5,== Biography == | === Personal life ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Bar_Council_of_Ireland,Irish bar,330,78,0.9159462453033768,0.078227785569713,2,5,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Bar_Council_of_Ireland,Irish bar,330,78,0.9159462453033768,0.078227785569713,2,5,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Bar_Council_of_Ireland,Irish bar,330,78,0.9159462453033768,0.078227785569713,2,5,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Bar_Council_of_Ireland,Irish bar,330,78,0.9159462453033768,0.078227785569713,2,5,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Bar_Council_of_Ireland,Irish bar,330,78,0.9159462453033768,0.078227785569713,2,5,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Association108049401,http://dbpedia.org/resource/Bar_Council_of_Ireland,Irish bar,330,78,0.9159462453033768,0.078227785569713,2,5,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Bar_Council_of_Ireland,Irish bar,330,78,0.9159462453033768,0.078227785569713,2,5,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Bar_Council_of_Ireland,Irish bar,330,78,0.9159462453033768,0.078227785569713,2,5,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/ProfessionalAssociation108242675,http://dbpedia.org/resource/Bar_Council_of_Ireland,Irish bar,330,78,0.9159462453033768,0.078227785569713,2,5,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Bar_Council_of_Ireland,Irish bar,330,78,0.9159462453033768,0.078227785569713,2,5,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1897,http://dbpedia.org/resource/Bar_Council_of_Ireland,Irish bar,330,78,0.9159462453033768,0.078227785569713,2,5,== Biography == | === Personal life ===
