types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatComputerSecurityModels,http://dbpedia.org/resource/Protection_ring,Ring 0,342,201,1.0,0.0,1,3,== History == | === Biography ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Protection_ring,Ring 0,342,201,1.0,0.0,1,3,== History == | === Biography ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Protection_ring,Ring 0,342,201,1.0,0.0,1,3,== History == | === Biography ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Protection_ring,Ring 0,342,201,1.0,0.0,1,3,== History == | === Biography ===
http://dbpedia.org/class/yago/Assistant109815790,http://dbpedia.org/resource/Protection_ring,Ring 0,342,201,1.0,0.0,1,3,== History == | === Biography ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Protection_ring,Ring 0,342,201,1.0,0.0,1,3,== History == | === Biography ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Protection_ring,Ring 0,342,201,1.0,0.0,1,3,== History == | === Biography ===
http://dbpedia.org/class/yago/Model110324560,http://dbpedia.org/resource/Protection_ring,Ring 0,342,201,1.0,0.0,1,3,== History == | === Biography ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Protection_ring,Ring 0,342,201,1.0,0.0,1,3,== History == | === Biography ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Protection_ring,Ring 0,342,201,1.0,0.0,1,3,== History == | === Biography ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Protection_ring,Ring 0,342,201,1.0,0.0,1,3,== History == | === Biography ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Protection_ring,Ring 0,342,201,1.0,0.0,1,3,== History == | === Biography ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Protection_ring,Ring 0,342,201,1.0,0.0,1,3,== History == | === Biography ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Canefield,Canefield,8,41,0.9999996790130528,0.0,0,33,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInDominica,http://dbpedia.org/resource/Canefield,Canefield,8,41,0.9999996790130528,0.0,0,33,== Filmography == | === TV series ===
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/resource/Canefield,Canefield,8,41,0.9999996790130528,0.0,0,33,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Canefield,Canefield,8,41,0.9999996790130528,0.0,0,33,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Canefield,Canefield,8,41,0.9999996790130528,0.0,0,33,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Canefield,Canefield,8,41,0.9999996790130528,0.0,0,33,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Canefield,Canefield,8,41,0.9999996790130528,0.0,0,33,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Canefield,Canefield,8,41,0.9999996790130528,0.0,0,33,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Canefield,Canefield,8,41,0.9999996790130528,0.0,0,33,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Canefield,Canefield,8,41,0.9999996790130528,0.0,0,33,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Canefield,Canefield,8,41,0.9999996790130528,0.0,0,33,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Canefield,Canefield,8,41,0.9999996790130528,0.0,0,33,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Canefield,Canefield,8,41,0.9999996790130528,0.0,0,33,== Filmography == | === TV series ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Lapis_lazuli,Lapis Lazuli,758,6,1.0,0.0,1,71,== Filmography == | === Films ===
http://dbpedia.org/ontology/Building,http://dbpedia.org/resource/Lapis_lazuli,Lapis Lazuli,758,6,1.0,0.0,1,71,== Filmography == | === Films ===
http://dbpedia.org/ontology/RaceHorse,http://dbpedia.org/resource/Lapis_lazuli,Lapis Lazuli,758,6,1.0,0.0,1,71,== Filmography == | === Films ===
