types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/SkiArea,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/WikicatHotelBuildingsCompletedIn2004,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/WikicatCasinosCompletedIn2004,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/WikicatCasinosInMacau,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/WikicatSkyscrapersInChina,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/Casino102977936,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/Establishment103297735,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/GamblingHouse103413428,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/PlaceOfBusiness103953020,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/Skyscraper104233124,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Sands_Macao,Sands Theatre,39,92,0.9999999999604654,0.0,2,23,== Career == | === Theater ===
http://dbpedia.org/ontology/TelevisionStation,http://dbpedia.org/resource/Channel_37,channel 37,31,157,1.0,0.0,0,29,== Career == | === Television ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Channel_37,channel 37,31,157,1.0,0.0,0,29,== Career == | === Television ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Channel_37,channel 37,31,157,1.0,0.0,0,29,== Career == | === Television ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Channel_37,channel 37,31,157,1.0,0.0,0,29,== Career == | === Television ===
http://dbpedia.org/class/yago/Facility103315023,http://dbpedia.org/resource/Channel_37,channel 37,31,157,1.0,0.0,0,29,== Career == | === Television ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Channel_37,channel 37,31,157,1.0,0.0,0,29,== Career == | === Television ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Channel_37,channel 37,31,157,1.0,0.0,0,29,== Career == | === Television ===
http://dbpedia.org/class/yago/Station104306080,http://dbpedia.org/resource/Channel_37,channel 37,31,157,1.0,0.0,0,29,== Career == | === Television ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Channel_37,channel 37,31,157,1.0,0.0,0,29,== Career == | === Television ===
http://dbpedia.org/class/yago/WikicatTVStationsByChannelNumber,http://dbpedia.org/resource/Channel_37,channel 37,31,157,1.0,0.0,0,29,== Career == | === Television ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Ang_Dating_Daan,Ang Dating Daan,174,41,0.997642137949418,0.0023634347035793,2,29,== Career == | === Television ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Ang_Dating_Daan,Ang Dating Daan,174,41,0.997642137949418,0.0023634347035793,2,29,== Career == | === Television ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Ang_Dating_Daan,Ang Dating Daan,174,41,0.997642137949418,0.0023634347035793,2,29,== Career == | === Television ===
http://umbel.org/umbel/rc/TVShow_IBT,http://dbpedia.org/resource/Ang_Dating_Daan,Ang Dating Daan,174,41,0.997642137949418,0.0023634347035793,2,29,== Career == | === Television ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Ang_Dating_Daan,Ang Dating Daan,174,41,0.997642137949418,0.0023634347035793,2,29,== Career == | === Television ===
http://dbpedia.org/class/yago/Broadcasting106276697,http://dbpedia.org/resource/Ang_Dating_Daan,Ang Dating Daan,174,41,0.997642137949418,0.0023634347035793,2,29,== Career == | === Television ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Ang_Dating_Daan,Ang Dating Daan,174,41,0.997642137949418,0.0023634347035793,2,29,== Career == | === Television ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Ang_Dating_Daan,Ang Dating Daan,174,41,0.997642137949418,0.0023634347035793,2,29,== Career == | === Television ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Ang_Dating_Daan,Ang Dating Daan,174,41,0.997642137949418,0.0023634347035793,2,29,== Career == | === Television ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Ang_Dating_Daan,Ang Dating Daan,174,41,0.997642137949418,0.0023634347035793,2,29,== Career == | === Television ===
http://dbpedia.org/class/yago/Telecommunication106271778,http://dbpedia.org/resource/Ang_Dating_Daan,Ang Dating Daan,174,41,0.997642137949418,0.0023634347035793,2,29,== Career == | === Television ===
http://dbpedia.org/class/yago/Television106277280,http://dbpedia.org/resource/Ang_Dating_Daan,Ang Dating Daan,174,41,0.997642137949418,0.0023634347035793,2,29,== Career == | === Television ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Ang_Dating_Daan,Ang Dating Daan,174,41,0.997642137949418,0.0023634347035793,2,29,== Career == | === Television ===
