types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/WikicatHostages,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/WikicatJapanesePeople,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/WikicatPeopleOfAzuchi–Momoyama-periodJapan,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/WikicatPeopleOfMuromachi-periodJapan,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/WikicatConvertsToRomanCatholicism,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/WikicatWomen,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/WikicatWomenOfMedievalJapan,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/Woman110787470,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/WikicatMurderVictims,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/WikicatRomanCatholicSaints,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/Convert109962414,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/Female109619168,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/GoodPerson110138767,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/Hostage110187557,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/Prisoner110476086,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/Saint110546850,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/Unfortunate109630641,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/Victim110752093,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
http://dbpedia.org/class/yago/Wikicat16th-centuryJapanesePeople,http://dbpedia.org/resource/Hosokawa_Gracia,Akechi Tama,96,35,1.0,0.0,0,57,== Filmography == | === Television dramas ===
