types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatHistoriansOfAntiquity,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatPeopleFromSüdharz,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Classicist109926656,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Critic109979589,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Historian110177150,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Humanist110191192,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/LiteraryCritic110266016,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Philologist110423225,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatEthnicGermanPeople,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatGermanClassicalScholars,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatGermanHistorians,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatGermanLiteraryCritics,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatGermanPeople,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatGermanPhilologists,http://dbpedia.org/resource/Friedrich_August_Wolf,Friedrich August Wolf,59,54,1.0,0.0,28,9,== Life == | === Education ===
