types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Devin_Robinson,Devin Robinson,8,152,0.9999999999986926,0.0,0,7,== Music career == | === 2008–2012 ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Dorset_Collegiate,Dorset Collegiate,5,74,1.0,0.0,14,7,== Music career == | === 2008–2012 ===
http://dbpedia.org/ontology/School,http://dbpedia.org/resource/Dorset_Collegiate,Dorset Collegiate,5,74,1.0,0.0,14,7,== Music career == | === 2008–2012 ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Dorset_Collegiate,Dorset Collegiate,5,74,1.0,0.0,14,7,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/WikicatHighSchoolsInNewfoundlandAndLabrador,http://dbpedia.org/resource/Dorset_Collegiate,Dorset Collegiate,5,74,1.0,0.0,14,7,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Dorset_Collegiate,Dorset Collegiate,5,74,1.0,0.0,14,7,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Dorset_Collegiate,Dorset Collegiate,5,74,1.0,0.0,14,7,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Dorset_Collegiate,Dorset Collegiate,5,74,1.0,0.0,14,7,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Dorset_Collegiate,Dorset Collegiate,5,74,1.0,0.0,14,7,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/EducationalInstitution108276342,http://dbpedia.org/resource/Dorset_Collegiate,Dorset Collegiate,5,74,1.0,0.0,14,7,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Dorset_Collegiate,Dorset Collegiate,5,74,1.0,0.0,14,7,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Dorset_Collegiate,Dorset Collegiate,5,74,1.0,0.0,14,7,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Dorset_Collegiate,Dorset Collegiate,5,74,1.0,0.0,14,7,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/School108276720,http://dbpedia.org/resource/Dorset_Collegiate,Dorset Collegiate,5,74,1.0,0.0,14,7,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/SecondarySchool108284481,http://dbpedia.org/resource/Dorset_Collegiate,Dorset Collegiate,5,74,1.0,0.0,14,7,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/SeniorHighSchool108409617,http://dbpedia.org/resource/Dorset_Collegiate,Dorset Collegiate,5,74,1.0,0.0,14,7,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Dorset_Collegiate,Dorset Collegiate,5,74,1.0,0.0,14,7,== Music career == | === 2008–2012 ===
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Exploits_Valley,Exploits Valley,7,115,1.0,0.0,0,8,== Music career == | === 2008–2012 ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Exploits_Valley,Exploits Valley,7,115,1.0,0.0,0,8,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/WikicatValleysOfNewfoundlandAndLabrador,http://dbpedia.org/resource/Exploits_Valley,Exploits Valley,7,115,1.0,0.0,0,8,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Exploits_Valley,Exploits Valley,7,115,1.0,0.0,0,8,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Exploits_Valley,Exploits Valley,7,115,1.0,0.0,0,8,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/GeologicalFormation109287968,http://dbpedia.org/resource/Exploits_Valley,Exploits Valley,7,115,1.0,0.0,0,8,== Music career == | === 2008–2012 ===
http://dbpedia.org/class/yago/NaturalDepression109366017,http://dbpedia.org/resource/Exploits_Valley,Exploits Valley,7,115,1.0,0.0,0,8,== Music career == | === 2008–2012 ===
