types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/Madhyam,Madhyama,61,274,0.9999999999997726,0.0,2,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatWindowsWordProcessors,http://dbpedia.org/resource/Madhyam,Madhyama,61,274,0.9999999999997726,0.0,2,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WordProcessor106572654,http://dbpedia.org/resource/Madhyam,Madhyama,61,274,0.9999999999997726,0.0,2,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Writing106359877,http://dbpedia.org/resource/Madhyam,Madhyama,61,274,0.9999999999997726,0.0,2,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Madhyam,Madhyama,61,274,0.9999999999997726,0.0,2,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Madhyam,Madhyama,61,274,0.9999999999997726,0.0,2,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Application106570110,http://dbpedia.org/resource/Madhyam,Madhyama,61,274,0.9999999999997726,0.0,2,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Code106355894,http://dbpedia.org/resource/Madhyam,Madhyama,61,274,0.9999999999997726,0.0,2,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/CodingSystem106353757,http://dbpedia.org/resource/Madhyam,Madhyama,61,274,0.9999999999997726,0.0,2,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Madhyam,Madhyama,61,274,0.9999999999997726,0.0,2,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Program106568978,http://dbpedia.org/resource/Madhyam,Madhyama,61,274,0.9999999999997726,0.0,2,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Software106566077,http://dbpedia.org/resource/Madhyam,Madhyama,61,274,0.9999999999997726,0.0,2,4,== Biography == | === Early life ===
