types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Mathemagician,Mathemagics,14,1,0.9999999803406184,0.0,0,248,== Discography == | === Other songs ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Mathemagician,Mathemagics,14,1,0.9999999803406184,0.0,0,248,== Discography == | === Other songs ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Mathemagician,Mathemagics,14,1,0.9999999803406184,0.0,0,248,== Discography == | === Other songs ===
http://dbpedia.org/class/yago/WikicatMagicians,http://dbpedia.org/resource/Mathemagician,Mathemagics,14,1,0.9999999803406184,0.0,0,248,== Discography == | === Other songs ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Mathemagician,Mathemagics,14,1,0.9999999803406184,0.0,0,248,== Discography == | === Other songs ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Mathemagician,Mathemagics,14,1,0.9999999803406184,0.0,0,248,== Discography == | === Other songs ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Mathemagician,Mathemagics,14,1,0.9999999803406184,0.0,0,248,== Discography == | === Other songs ===
http://dbpedia.org/class/yago/Magician110280674,http://dbpedia.org/resource/Mathemagician,Mathemagics,14,1,0.9999999803406184,0.0,0,248,== Discography == | === Other songs ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Mathemagician,Mathemagics,14,1,0.9999999803406184,0.0,0,248,== Discography == | === Other songs ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Mathemagician,Mathemagics,14,1,0.9999999803406184,0.0,0,248,== Discography == | === Other songs ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Mathemagician,Mathemagics,14,1,0.9999999803406184,0.0,0,248,== Discography == | === Other songs ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Mathemagician,Mathemagics,14,1,0.9999999803406184,0.0,0,248,== Discography == | === Other songs ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Mathemagician,Mathemagics,14,1,0.9999999803406184,0.0,0,248,== Discography == | === Other songs ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Mathemagician,Mathemagics,14,1,0.9999999803406184,0.0,0,248,== Discography == | === Other songs ===
