types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/WikicatCombatSports,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/WikicatMixedMartialArtsStyles,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/Manner104928903,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/MartialArt100825443,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/Property104916342,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/Protection100817680,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/Rule105846054,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/Self-defense100825192,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/Sport100523513,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/WikicatOlympicSports,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
http://dbpedia.org/class/yago/WikicatSportsRulesAndRegulations,http://dbpedia.org/resource/Greco-Roman_wrestling,Greco-Roman,1863,36,0.8325324011813549,0.200569055018519,0,8,== Discography == | === Extended plays ===
