types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Columbia_Jazz_Masterpieces,Columbia Jazz Masterpieces,4,18,1.0,0.0,0,47,== Discography == | ==== Compilations ====
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Columbia_Jazz_Masterpieces,Columbia Jazz Masterpieces,4,18,1.0,0.0,0,47,== Discography == | ==== Compilations ====
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Columbia_Jazz_Masterpieces,Columbia Jazz Masterpieces,4,18,1.0,0.0,0,47,== Discography == | ==== Compilations ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Columbia_Jazz_Masterpieces,Columbia Jazz Masterpieces,4,18,1.0,0.0,0,47,== Discography == | ==== Compilations ====
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Columbia_Jazz_Masterpieces,Columbia Jazz Masterpieces,4,18,1.0,0.0,0,47,== Discography == | ==== Compilations ====
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Columbia_Jazz_Masterpieces,Columbia Jazz Masterpieces,4,18,1.0,0.0,0,47,== Discography == | ==== Compilations ====
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Columbia_Jazz_Masterpieces,Columbia Jazz Masterpieces,4,18,1.0,0.0,0,47,== Discography == | ==== Compilations ====
http://dbpedia.org/class/yago/WikicatJazzRecordLabels,http://dbpedia.org/resource/Columbia_Jazz_Masterpieces,Columbia Jazz Masterpieces,4,18,1.0,0.0,0,47,== Discography == | ==== Compilations ====
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Columbia_Jazz_Masterpieces,Columbia Jazz Masterpieces,4,18,1.0,0.0,0,47,== Discography == | ==== Compilations ====
http://dbpedia.org/class/yago/WikicatAmericanRecordLabels,http://dbpedia.org/resource/Columbia_Jazz_Masterpieces,Columbia Jazz Masterpieces,4,18,1.0,0.0,0,47,== Discography == | ==== Compilations ====
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Columbia_Jazz_Masterpieces,Columbia Jazz Masterpieces,4,18,1.0,0.0,0,47,== Discography == | ==== Compilations ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Columbia_Jazz_Masterpieces,Columbia Jazz Masterpieces,4,18,1.0,0.0,0,47,== Discography == | ==== Compilations ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Columbia_Jazz_Masterpieces,Columbia Jazz Masterpieces,4,18,1.0,0.0,0,47,== Discography == | ==== Compilations ====
