types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://dbpedia.org/class/yago/WikicatGroupProcesses,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://dbpedia.org/class/yago/WikicatCognitiveBiases,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://dbpedia.org/class/yago/Attitude106193203,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://dbpedia.org/class/yago/Bias106201908,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://dbpedia.org/class/yago/Inclination106196584,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://dbpedia.org/class/yago/Market101097292,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://dbpedia.org/class/yago/Partiality106201136,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://dbpedia.org/class/yago/Procedure101023820,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://dbpedia.org/class/yago/WikicatFinancialMarkets,http://dbpedia.org/resource/Herd_behavior,Sheeple,116,118,0.9999999912818396,0.0,1,13,== Awards and honors == | === Awards ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/I_Am_Diego_Maradona,I Am Diego Maradona,2,114,1.0,0.0,0,17,== Awards and honors == | === Honors ===
