types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Gotham_City,GCPD,3212,8,1.0,0.0,0,43,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Gotham_City,GCPD,3212,8,1.0,0.0,0,43,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Gotham_City,GCPD,3212,8,1.0,0.0,0,43,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/ontology/City,http://dbpedia.org/resource/Gotham_City,GCPD,3212,8,1.0,0.0,0,43,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Gotham_City,GCPD,3212,8,1.0,0.0,0,43,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Gotham_City,GCPD,3212,8,1.0,0.0,0,43,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Gotham_City,GCPD,3212,8,1.0,0.0,0,43,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Gotham_City,GCPD,3212,8,1.0,0.0,0,43,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/WikicatDCComicsPopulatedPlaces,http://dbpedia.org/resource/Gotham_City,GCPD,3212,8,1.0,0.0,0,43,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/WikicatFictionalLocations,http://dbpedia.org/resource/Gotham_City,GCPD,3212,8,1.0,0.0,0,43,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/WikicatFictionalPopulatedPlaces,http://dbpedia.org/resource/Gotham_City,GCPD,3212,8,1.0,0.0,0,43,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/WikicatFictionalPopulatedPlacesInTheUnitedStates,http://dbpedia.org/resource/Gotham_City,GCPD,3212,8,1.0,0.0,0,43,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Gotham_City,GCPD,3212,8,1.0,0.0,0,43,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Gotham_City,GCPD,3212,8,1.0,0.0,0,43,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Gotham_City,GCPD,3212,8,1.0,0.0,0,43,== Bibliography == | ==== DC Comics ====
