types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatItalianNobleFamilies,http://dbpedia.org/resource/Vendramin_family,Vendramin family,81,86,1.0,0.0,4,15,== Biography == | === Theatrical career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Vendramin_family,Vendramin family,81,86,1.0,0.0,4,15,== Biography == | === Theatrical career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Vendramin_family,Vendramin family,81,86,1.0,0.0,4,15,== Biography == | === Theatrical career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Vendramin_family,Vendramin family,81,86,1.0,0.0,4,15,== Biography == | === Theatrical career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Vendramin_family,Vendramin family,81,86,1.0,0.0,4,15,== Biography == | === Theatrical career ===
http://dbpedia.org/class/yago/Family108078020,http://dbpedia.org/resource/Vendramin_family,Vendramin family,81,86,1.0,0.0,4,15,== Biography == | === Theatrical career ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Vendramin_family,Vendramin family,81,86,1.0,0.0,4,15,== Biography == | === Theatrical career ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Vendramin_family,Vendramin family,81,86,1.0,0.0,4,15,== Biography == | === Theatrical career ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Vendramin_family,Vendramin family,81,86,1.0,0.0,4,15,== Biography == | === Theatrical career ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/Vendramin_family,Vendramin family,81,86,1.0,0.0,4,15,== Biography == | === Theatrical career ===
http://dbpedia.org/class/yago/WikicatFamiliesOfTheVenetianRepublic,http://dbpedia.org/resource/Vendramin_family,Vendramin family,81,86,1.0,0.0,4,15,== Biography == | === Theatrical career ===
