types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/ShakespeaRe-Told,Much Ado About Nothing,50,61,0.9847844647247764,0.0153680136782595,2,13,== Acting career == | === Screen ===
http://dbpedia.org/class/yago/WikicatWorksBasedOnAMidsummerNight'sDream,http://dbpedia.org/resource/ShakespeaRe-Told,Much Ado About Nothing,50,61,0.9847844647247764,0.0153680136782595,2,13,== Acting career == | === Screen ===
http://dbpedia.org/class/yago/WikicatWorksBasedOnMacbeth,http://dbpedia.org/resource/ShakespeaRe-Told,Much Ado About Nothing,50,61,0.9847844647247764,0.0153680136782595,2,13,== Acting career == | === Screen ===
http://dbpedia.org/class/yago/WikicatWorksBasedOnMuchAdoAboutNothing,http://dbpedia.org/resource/ShakespeaRe-Told,Much Ado About Nothing,50,61,0.9847844647247764,0.0153680136782595,2,13,== Acting career == | === Screen ===
http://dbpedia.org/class/yago/WikicatWorksBasedOnTheTamingOfTheShrew,http://dbpedia.org/resource/ShakespeaRe-Told,Much Ado About Nothing,50,61,0.9847844647247764,0.0153680136782595,2,13,== Acting career == | === Screen ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/ShakespeaRe-Told,Much Ado About Nothing,50,61,0.9847844647247764,0.0153680136782595,2,13,== Acting career == | === Screen ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/ShakespeaRe-Told,Much Ado About Nothing,50,61,0.9847844647247764,0.0153680136782595,2,13,== Acting career == | === Screen ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/ShakespeaRe-Told,Much Ado About Nothing,50,61,0.9847844647247764,0.0153680136782595,2,13,== Acting career == | === Screen ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/ShakespeaRe-Told,Much Ado About Nothing,50,61,0.9847844647247764,0.0153680136782595,2,13,== Acting career == | === Screen ===
http://dbpedia.org/class/yago/EndProduct103287178,http://dbpedia.org/resource/ShakespeaRe-Told,Much Ado About Nothing,50,61,0.9847844647247764,0.0153680136782595,2,13,== Acting career == | === Screen ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/ShakespeaRe-Told,Much Ado About Nothing,50,61,0.9847844647247764,0.0153680136782595,2,13,== Acting career == | === Screen ===
