types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/WikicatAustrianEconomists,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/WikicatAustrianSociologists,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/WikicatConvertsToRomanCatholicismFromAtheismOrAgnosticism,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/WikicatConvertsToRomanCatholicismFromJudaism,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/WikicatCzechPeople,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/WikicatCzechoslovakPeople,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/Academician109759069,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/Alumnus109786338,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/Convert109962414,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/Economist110043643,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/Educator110045713,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/Historian110177150,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Werner_Stark,Werner Stark,6,16,1.0,0.0,0,95,== Bibliography == | ==== Stark (1952–1954) ====
