types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatGuitars,http://dbpedia.org/resource/Sunburst_(finish),sunburst (finish),32,22,1.0,0.0,0,32,== Musical equipment and sound == | === Guitars ===
http://dbpedia.org/class/yago/WikicatVarnishes,http://dbpedia.org/resource/Sunburst_(finish),sunburst (finish),32,22,1.0,0.0,0,32,== Musical equipment and sound == | === Guitars ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Sunburst_(finish),sunburst (finish),32,22,1.0,0.0,0,32,== Musical equipment and sound == | === Guitars ===
http://dbpedia.org/class/yago/Coating103058107,http://dbpedia.org/resource/Sunburst_(finish),sunburst (finish),32,22,1.0,0.0,0,32,== Musical equipment and sound == | === Guitars ===
http://dbpedia.org/class/yago/Covering103122748,http://dbpedia.org/resource/Sunburst_(finish),sunburst (finish),32,22,1.0,0.0,0,32,== Musical equipment and sound == | === Guitars ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Sunburst_(finish),sunburst (finish),32,22,1.0,0.0,0,32,== Musical equipment and sound == | === Guitars ===
http://dbpedia.org/class/yago/Guitar103467517,http://dbpedia.org/resource/Sunburst_(finish),sunburst (finish),32,22,1.0,0.0,0,32,== Musical equipment and sound == | === Guitars ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Sunburst_(finish),sunburst (finish),32,22,1.0,0.0,0,32,== Musical equipment and sound == | === Guitars ===
http://dbpedia.org/class/yago/MusicalInstrument103800933,http://dbpedia.org/resource/Sunburst_(finish),sunburst (finish),32,22,1.0,0.0,0,32,== Musical equipment and sound == | === Guitars ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Sunburst_(finish),sunburst (finish),32,22,1.0,0.0,0,32,== Musical equipment and sound == | === Guitars ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Sunburst_(finish),sunburst (finish),32,22,1.0,0.0,0,32,== Musical equipment and sound == | === Guitars ===
http://dbpedia.org/class/yago/StringedInstrument104338517,http://dbpedia.org/resource/Sunburst_(finish),sunburst (finish),32,22,1.0,0.0,0,32,== Musical equipment and sound == | === Guitars ===
http://dbpedia.org/class/yago/Varnish104521987,http://dbpedia.org/resource/Sunburst_(finish),sunburst (finish),32,22,1.0,0.0,0,32,== Musical equipment and sound == | === Guitars ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Sunburst_(finish),sunburst (finish),32,22,1.0,0.0,0,32,== Musical equipment and sound == | === Guitars ===
