types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatGreekBeverages,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/WikicatGreekBrands,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/WikicatGreekDistilledBeverages,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/WikicatHerbalLiqueurs,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/ontology/Beverage,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/WikicatBrandies,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/WikicatDistilledBeverages,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Agent114778436,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Alcohol107884567,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Beverage107881800,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Brandy107903208,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Drug103247620,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/DrugOfAbuse103248958,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Fluid114939900,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Food100021265,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Liqueur107907943,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Liquid114940386,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Liquor107901587,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Matter100020827,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Name106333653,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Substance100019613,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/Substance100020090,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
http://dbpedia.org/class/yago/TradeName106845599,http://dbpedia.org/resource/Metaxa,Metaxa,34,43,0.9999992583591584,0.0,6,5,== Biography == | === Recording career ===
