types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatProtestsInTheUnitedStates,http://dbpedia.org/resource/2006_United_States_immigration_reform_protests,Gran Marcha,71,0,0.9999999668590368,0.0,0,110,== Works == | === Instrumental ===
http://dbpedia.org/class/yago/WikicatConflictsIn2006,http://dbpedia.org/resource/2006_United_States_immigration_reform_protests,Gran Marcha,71,0,0.9999999668590368,0.0,0,110,== Works == | === Instrumental ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/2006_United_States_immigration_reform_protests,Gran Marcha,71,0,0.9999999668590368,0.0,0,110,== Works == | === Instrumental ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/2006_United_States_immigration_reform_protests,Gran Marcha,71,0,0.9999999668590368,0.0,0,110,== Works == | === Instrumental ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/2006_United_States_immigration_reform_protests,Gran Marcha,71,0,0.9999999668590368,0.0,0,110,== Works == | === Instrumental ===
http://dbpedia.org/class/yago/Conflict100958896,http://dbpedia.org/resource/2006_United_States_immigration_reform_protests,Gran Marcha,71,0,0.9999999668590368,0.0,0,110,== Works == | === Instrumental ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/2006_United_States_immigration_reform_protests,Gran Marcha,71,0,0.9999999668590368,0.0,0,110,== Works == | === Instrumental ===
http://dbpedia.org/class/yago/GroupAction101080366,http://dbpedia.org/resource/2006_United_States_immigration_reform_protests,Gran Marcha,71,0,0.9999999668590368,0.0,0,110,== Works == | === Instrumental ===
http://dbpedia.org/class/yago/Objection107208338,http://dbpedia.org/resource/2006_United_States_immigration_reform_protests,Gran Marcha,71,0,0.9999999668590368,0.0,0,110,== Works == | === Instrumental ===
http://dbpedia.org/class/yago/Protest107210225,http://dbpedia.org/resource/2006_United_States_immigration_reform_protests,Gran Marcha,71,0,0.9999999668590368,0.0,0,110,== Works == | === Instrumental ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/2006_United_States_immigration_reform_protests,Gran Marcha,71,0,0.9999999668590368,0.0,0,110,== Works == | === Instrumental ===
http://dbpedia.org/class/yago/SpeechAct107160883,http://dbpedia.org/resource/2006_United_States_immigration_reform_protests,Gran Marcha,71,0,0.9999999668590368,0.0,0,110,== Works == | === Instrumental ===
http://dbpedia.org/class/yago/Wikicat2006Protests,http://dbpedia.org/resource/2006_United_States_immigration_reform_protests,Gran Marcha,71,0,0.9999999668590368,0.0,0,110,== Works == | === Instrumental ===
