types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatCombatSports,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatMartialArtTechniques,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Sport100523513,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Technique105665146,http://dbpedia.org/resource/Groin_attack,Low Blow,192,0,0.988018707198551,0.0118991169585211,0,40,== Discography == | === As sideman ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Faro_(banking_game),Paroli,132,11,0.9894251378221272,0.0,0,61,== Discography == | === As sideman ===
