types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Burak_Eldem,Burak Eldem,7,107,0.9999999767748592,0.0,10,8,== Music career == | === 1980s ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Burak_Eldem,Burak Eldem,7,107,0.9999999767748592,0.0,10,8,== Music career == | === 1980s ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Burak_Eldem,Burak Eldem,7,107,0.9999999767748592,0.0,10,8,== Music career == | === 1980s ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Burak_Eldem,Burak Eldem,7,107,0.9999999767748592,0.0,10,8,== Music career == | === 1980s ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Burak_Eldem,Burak Eldem,7,107,0.9999999767748592,0.0,10,8,== Music career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Burak_Eldem,Burak Eldem,7,107,0.9999999767748592,0.0,10,8,== Music career == | === 1980s ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Burak_Eldem,Burak Eldem,7,107,0.9999999767748592,0.0,10,8,== Music career == | === 1980s ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Burak_Eldem,Burak Eldem,7,107,0.9999999767748592,0.0,10,8,== Music career == | === 1980s ===
http://dbpedia.org/class/yago/Journalist110224578,http://dbpedia.org/resource/Burak_Eldem,Burak Eldem,7,107,0.9999999767748592,0.0,10,8,== Music career == | === 1980s ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Burak_Eldem,Burak Eldem,7,107,0.9999999767748592,0.0,10,8,== Music career == | === 1980s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Burak_Eldem,Burak Eldem,7,107,0.9999999767748592,0.0,10,8,== Music career == | === 1980s ===
