types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
http://dbpedia.org/class/yago/MeasuringInstrument103733925,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
http://dbpedia.org/class/yago/Missile103773504,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
http://dbpedia.org/class/yago/Conveyance103100490,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
http://dbpedia.org/class/yago/Rocket104099429,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
http://dbpedia.org/class/yago/Vehicle104524313,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
http://dbpedia.org/class/yago/Weapon104565375,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
http://dbpedia.org/class/yago/WikicatAirDefenceVehiclesOfRussia,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
http://dbpedia.org/class/yago/WikicatAirDefenceVehiclesOfTheSovietUnion,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
http://dbpedia.org/class/yago/Radar104039848,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
http://dbpedia.org/class/yago/WikicatAnti-ballisticMissiles,http://dbpedia.org/resource/Dunay_radar,Cat House,23,26,0.999936697094168,6.33024698159155e-05,0,21,== Discography == | === Cover versions ===
