types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatDefunctRecordLabelsOfTheUnitedKingdom,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Administrator109770949,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Director110014939,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Head110162991,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatEnglishMusicManagers,http://dbpedia.org/resource/Red_Rhino_Records,Red Rhino Records,67,113,1.0,0.0,3,5,== Career == | === 1980s ===
