types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatArtGenres,http://dbpedia.org/resource/Site-specific_art,site specific installation,393,17,1.0,0.0,0,51,== Works (selection) == | === Installative works ===
http://dbpedia.org/class/yago/WikicatArtisticTechniques,http://dbpedia.org/resource/Site-specific_art,site specific installation,393,17,1.0,0.0,0,51,== Works (selection) == | === Installative works ===
http://dbpedia.org/ontology/Artwork,http://dbpedia.org/resource/Site-specific_art,site specific installation,393,17,1.0,0.0,0,51,== Works (selection) == | === Installative works ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Site-specific_art,site specific installation,393,17,1.0,0.0,0,51,== Works (selection) == | === Installative works ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Site-specific_art,site specific installation,393,17,1.0,0.0,0,51,== Works (selection) == | === Installative works ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Site-specific_art,site specific installation,393,17,1.0,0.0,0,51,== Works (selection) == | === Installative works ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Site-specific_art,site specific installation,393,17,1.0,0.0,0,51,== Works (selection) == | === Installative works ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Site-specific_art,site specific installation,393,17,1.0,0.0,0,51,== Works (selection) == | === Installative works ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Site-specific_art,site specific installation,393,17,1.0,0.0,0,51,== Works (selection) == | === Installative works ===
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Site-specific_art,site specific installation,393,17,1.0,0.0,0,51,== Works (selection) == | === Installative works ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Site-specific_art,site specific installation,393,17,1.0,0.0,0,51,== Works (selection) == | === Installative works ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Site-specific_art,site specific installation,393,17,1.0,0.0,0,51,== Works (selection) == | === Installative works ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Site-specific_art,site specific installation,393,17,1.0,0.0,0,51,== Works (selection) == | === Installative works ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Site-specific_art,site specific installation,393,17,1.0,0.0,0,51,== Works (selection) == | === Installative works ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Site-specific_art,site specific installation,393,17,1.0,0.0,0,51,== Works (selection) == | === Installative works ===
http://dbpedia.org/class/yago/Technique105665146,http://dbpedia.org/resource/Site-specific_art,site specific installation,393,17,1.0,0.0,0,51,== Works (selection) == | === Installative works ===
