types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAnarchistPeriodicalsInTheUnitedKingdom,http://dbpedia.org/resource/The_Anarchist,The Anarchist,8,9,0.9980119694412264,0.0019919777875425,3,7,== Career == | === Theater ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/The_Anarchist,The Anarchist,8,9,0.9980119694412264,0.0019919777875425,3,7,== Career == | === Theater ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/The_Anarchist,The Anarchist,8,9,0.9980119694412264,0.0019919777875425,3,7,== Career == | === Theater ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/The_Anarchist,The Anarchist,8,9,0.9980119694412264,0.0019919777875425,3,7,== Career == | === Theater ===
http://dbpedia.org/class/yago/Periodical106593296,http://dbpedia.org/resource/The_Anarchist,The Anarchist,8,9,0.9980119694412264,0.0019919777875425,3,7,== Career == | === Theater ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/The_Anarchist,The Anarchist,8,9,0.9980119694412264,0.0019919777875425,3,7,== Career == | === Theater ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/The_Anarchist,The Anarchist,8,9,0.9980119694412264,0.0019919777875425,3,7,== Career == | === Theater ===
http://dbpedia.org/class/yago/Publication106589574,http://dbpedia.org/resource/The_Anarchist,The Anarchist,8,9,0.9980119694412264,0.0019919777875425,3,7,== Career == | === Theater ===
http://dbpedia.org/class/yago/Work104599396,http://dbpedia.org/resource/The_Anarchist,The Anarchist,8,9,0.9980119694412264,0.0019919777875425,3,7,== Career == | === Theater ===
http://dbpedia.org/ontology/Newspaper,http://dbpedia.org/resource/The_Anarchist,The Anarchist,8,9,0.9980119694412264,0.0019919777875425,3,7,== Career == | === Theater ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/The_Anarchist,The Anarchist,8,9,0.9980119694412264,0.0019919777875425,3,7,== Career == | === Theater ===
