types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Canadian_Indian_residential_school_system,Indian Residential Schools,888,67,1.0,0.0,0,19,== Career == | === Writing ===
http://dbpedia.org/ontology/Broadcaster,http://dbpedia.org/resource/Canadian_Indian_residential_school_system,Indian Residential Schools,888,67,1.0,0.0,0,19,== Career == | === Writing ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Canadian_Indian_residential_school_system,Indian Residential Schools,888,67,1.0,0.0,0,19,== Career == | === Writing ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Canadian_Indian_residential_school_system,Indian Residential Schools,888,67,1.0,0.0,0,19,== Career == | === Writing ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Canadian_Indian_residential_school_system,Indian Residential Schools,888,67,1.0,0.0,0,19,== Career == | === Writing ===
http://dbpedia.org/class/yago/WikicatResidentialSchoolsInCanada,http://dbpedia.org/resource/Canadian_Indian_residential_school_system,Indian Residential Schools,888,67,1.0,0.0,0,19,== Career == | === Writing ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Canadian_Indian_residential_school_system,Indian Residential Schools,888,67,1.0,0.0,0,19,== Career == | === Writing ===
http://dbpedia.org/class/yago/EducationalInstitution108276342,http://dbpedia.org/resource/Canadian_Indian_residential_school_system,Indian Residential Schools,888,67,1.0,0.0,0,19,== Career == | === Writing ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Canadian_Indian_residential_school_system,Indian Residential Schools,888,67,1.0,0.0,0,19,== Career == | === Writing ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Canadian_Indian_residential_school_system,Indian Residential Schools,888,67,1.0,0.0,0,19,== Career == | === Writing ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Canadian_Indian_residential_school_system,Indian Residential Schools,888,67,1.0,0.0,0,19,== Career == | === Writing ===
http://dbpedia.org/class/yago/School108276720,http://dbpedia.org/resource/Canadian_Indian_residential_school_system,Indian Residential Schools,888,67,1.0,0.0,0,19,== Career == | === Writing ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Canadian_Indian_residential_school_system,Indian Residential Schools,888,67,1.0,0.0,0,19,== Career == | === Writing ===
http://dbpedia.org/class/yago/WikicatTotalInstitutions,http://dbpedia.org/resource/Canadian_Indian_residential_school_system,Indian Residential Schools,888,67,1.0,0.0,0,19,== Career == | === Writing ===
