types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/EthnicGroup,http://dbpedia.org/resource/Clan_Maclean,Clan Maclean,313,79,1.0,0.0,2,41,== Personal life == | === Ancestry ===
http://dbpedia.org/class/yago/WikicatScottishClans,http://dbpedia.org/resource/Clan_Maclean,Clan Maclean,313,79,1.0,0.0,2,41,== Personal life == | === Ancestry ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Clan_Maclean,Clan Maclean,313,79,1.0,0.0,2,41,== Personal life == | === Ancestry ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Clan_Maclean,Clan Maclean,313,79,1.0,0.0,2,41,== Personal life == | === Ancestry ===
http://dbpedia.org/class/yago/Kin107969695,http://dbpedia.org/resource/Clan_Maclean,Clan Maclean,313,79,1.0,0.0,2,41,== Personal life == | === Ancestry ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Clan_Maclean,Clan Maclean,313,79,1.0,0.0,2,41,== Personal life == | === Ancestry ===
