types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Wikicat4th-centuryChristianTexts,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/WikicatChristianStatementsOfFaith,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/Belief105941423,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/Creed105959954,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/Doctrine105943300,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/Document106470073,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/Matter106365467,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/Statement106722453,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/Text106387980,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
http://dbpedia.org/class/yago/WikicatEcumenicalCreeds,http://dbpedia.org/resource/Nicene_Creed,mainstream Christianity,1700,84,1.0,0.0,1,9,== Civic engagement == | === Marriage Equality ===
