types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/New_England_town,New England town,17119,166,1.0,0.0,0,48,== Hollywood (1939–1948) == | === The Stranger ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/New_England_town,New England town,17119,166,1.0,0.0,0,48,== Hollywood (1939–1948) == | === The Stranger ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/New_England_town,New England town,17119,166,1.0,0.0,0,48,== Hollywood (1939–1948) == | === The Stranger ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/New_England_town,New England town,17119,166,1.0,0.0,0,48,== Hollywood (1939–1948) == | === The Stranger ===
http://dbpedia.org/class/yago/AdministrativeDistrict108491826,http://dbpedia.org/resource/New_England_town,New England town,17119,166,1.0,0.0,0,48,== Hollywood (1939–1948) == | === The Stranger ===
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/New_England_town,New England town,17119,166,1.0,0.0,0,48,== Hollywood (1939–1948) == | === The Stranger ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/New_England_town,New England town,17119,166,1.0,0.0,0,48,== Hollywood (1939–1948) == | === The Stranger ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/New_England_town,New England town,17119,166,1.0,0.0,0,48,== Hollywood (1939–1948) == | === The Stranger ===
http://dbpedia.org/class/yago/Municipality108626283,http://dbpedia.org/resource/New_England_town,New England town,17119,166,1.0,0.0,0,48,== Hollywood (1939–1948) == | === The Stranger ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/New_England_town,New England town,17119,166,1.0,0.0,0,48,== Hollywood (1939–1948) == | === The Stranger ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/New_England_town,New England town,17119,166,1.0,0.0,0,48,== Hollywood (1939–1948) == | === The Stranger ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/New_England_town,New England town,17119,166,1.0,0.0,0,48,== Hollywood (1939–1948) == | === The Stranger ===
http://dbpedia.org/class/yago/Town108665504,http://dbpedia.org/resource/New_England_town,New England town,17119,166,1.0,0.0,0,48,== Hollywood (1939–1948) == | === The Stranger ===
http://dbpedia.org/class/yago/UrbanArea108675967,http://dbpedia.org/resource/New_England_town,New England town,17119,166,1.0,0.0,0,48,== Hollywood (1939–1948) == | === The Stranger ===
http://dbpedia.org/class/yago/WikicatNewEnglandTowns,http://dbpedia.org/resource/New_England_town,New England town,17119,166,1.0,0.0,0,48,== Hollywood (1939–1948) == | === The Stranger ===
