types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/List_of_bus_routes_in_London,R70,20,83,0.999999470887699,3.5987517084257334e-07,1,9,== Career == | === 2004 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/List_of_bus_routes_in_London,R70,20,83,0.999999470887699,3.5987517084257334e-07,1,9,== Career == | === 2004 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/List_of_bus_routes_in_London,R70,20,83,0.999999470887699,3.5987517084257334e-07,1,9,== Career == | === 2004 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/List_of_bus_routes_in_London,R70,20,83,0.999999470887699,3.5987517084257334e-07,1,9,== Career == | === 2004 ===
http://dbpedia.org/class/yago/BusLine102925901,http://dbpedia.org/resource/List_of_bus_routes_in_London,R70,20,83,0.999999470887699,3.5987517084257334e-07,1,9,== Career == | === 2004 ===
http://dbpedia.org/class/yago/Business108061042,http://dbpedia.org/resource/List_of_bus_routes_in_London,R70,20,83,0.999999470887699,3.5987517084257334e-07,1,9,== Career == | === 2004 ===
http://dbpedia.org/class/yago/Carrier108057633,http://dbpedia.org/resource/List_of_bus_routes_in_London,R70,20,83,0.999999470887699,3.5987517084257334e-07,1,9,== Career == | === 2004 ===
http://dbpedia.org/class/yago/Enterprise108056231,http://dbpedia.org/resource/List_of_bus_routes_in_London,R70,20,83,0.999999470887699,3.5987517084257334e-07,1,9,== Career == | === 2004 ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/List_of_bus_routes_in_London,R70,20,83,0.999999470887699,3.5987517084257334e-07,1,9,== Career == | === 2004 ===
http://dbpedia.org/class/yago/Line103671473,http://dbpedia.org/resource/List_of_bus_routes_in_London,R70,20,83,0.999999470887699,3.5987517084257334e-07,1,9,== Career == | === 2004 ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/List_of_bus_routes_in_London,R70,20,83,0.999999470887699,3.5987517084257334e-07,1,9,== Career == | === 2004 ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/List_of_bus_routes_in_London,R70,20,83,0.999999470887699,3.5987517084257334e-07,1,9,== Career == | === 2004 ===
http://dbpedia.org/class/yago/TransitLine104472098,http://dbpedia.org/resource/List_of_bus_routes_in_London,R70,20,83,0.999999470887699,3.5987517084257334e-07,1,9,== Career == | === 2004 ===
