types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Breast_reconstruction,breast reconstruction,183,63,0.9999998386703468,1.6132967619798873e-07,2,13,== Biography == | === Death ===
http://dbpedia.org/class/yago/Work100575741,http://dbpedia.org/resource/Breast_reconstruction,breast reconstruction,183,63,0.9999998386703468,1.6132967619798873e-07,2,13,== Biography == | === Death ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Breast_reconstruction,breast reconstruction,183,63,0.9999998386703468,1.6132967619798873e-07,2,13,== Biography == | === Death ===
http://dbpedia.org/class/yago/WikicatMedicalTreatments,http://dbpedia.org/resource/Breast_reconstruction,breast reconstruction,183,63,0.9999998386703468,1.6132967619798873e-07,2,13,== Biography == | === Death ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Breast_reconstruction,breast reconstruction,183,63,0.9999998386703468,1.6132967619798873e-07,2,13,== Biography == | === Death ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Breast_reconstruction,breast reconstruction,183,63,0.9999998386703468,1.6132967619798873e-07,2,13,== Biography == | === Death ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Breast_reconstruction,breast reconstruction,183,63,0.9999998386703468,1.6132967619798873e-07,2,13,== Biography == | === Death ===
http://dbpedia.org/class/yago/Care100654885,http://dbpedia.org/resource/Breast_reconstruction,breast reconstruction,183,63,0.9999998386703468,1.6132967619798873e-07,2,13,== Biography == | === Death ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Breast_reconstruction,breast reconstruction,183,63,0.9999998386703468,1.6132967619798873e-07,2,13,== Biography == | === Death ===
http://dbpedia.org/class/yago/MedicalProcedure101024392,http://dbpedia.org/resource/Breast_reconstruction,breast reconstruction,183,63,0.9999998386703468,1.6132967619798873e-07,2,13,== Biography == | === Death ===
http://dbpedia.org/class/yago/Operation100671351,http://dbpedia.org/resource/Breast_reconstruction,breast reconstruction,183,63,0.9999998386703468,1.6132967619798873e-07,2,13,== Biography == | === Death ===
http://dbpedia.org/class/yago/Procedure101023820,http://dbpedia.org/resource/Breast_reconstruction,breast reconstruction,183,63,0.9999998386703468,1.6132967619798873e-07,2,13,== Biography == | === Death ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Breast_reconstruction,breast reconstruction,183,63,0.9999998386703468,1.6132967619798873e-07,2,13,== Biography == | === Death ===
http://dbpedia.org/class/yago/Treatment100658082,http://dbpedia.org/resource/Breast_reconstruction,breast reconstruction,183,63,0.9999998386703468,1.6132967619798873e-07,2,13,== Biography == | === Death ===
http://dbpedia.org/class/yago/WikicatSurgicalProcedures,http://dbpedia.org/resource/Breast_reconstruction,breast reconstruction,183,63,0.9999998386703468,1.6132967619798873e-07,2,13,== Biography == | === Death ===
