types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAndroidGames,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/class/yago/WikicatIOSGames,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/class/yago/WikicatIPadGames,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/class/yago/WikicatPlayStationVitaGames,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/class/yago/ComputerGame100458890,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/class/yago/Game100430606,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/class/yago/Game100456199,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
http://dbpedia.org/class/yago/Wikicat2012VideoGames,http://dbpedia.org/resource/My_Singing_Monsters,My Singing Monsters,10,183,1.0,0.0,5,13,== Musical career == | === Solo ===
