types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatJewishMovements,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatJewishReligiousMovements,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatJewishUniversitiesAndColleges,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatYeshivasInCanada,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Yeshiva108278032,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Academy108277805,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/EducationalInstitution108276342,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Motion100331950,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Movement108464601,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/ReligiousMovement108473787,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/School108276720,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/University108286569,http://dbpedia.org/resource/Modern_Orthodox_Judaism,Modern Orthodox Jewish,901,84,1.0,0.0,0,3,== Biography == | === Early life ===
