types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/TopicalConcept,http://dbpedia.org/resource/Montage_(filmmaking),training montage,532,4,0.999998863520708,0.0,5,5,== Biography == | === Rocky series ===
http://dbpedia.org/class/yago/WikicatConceptsInFilmTheory,http://dbpedia.org/resource/Montage_(filmmaking),training montage,532,4,0.999998863520708,0.0,5,5,== Biography == | === Rocky series ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Montage_(filmmaking),training montage,532,4,0.999998863520708,0.0,5,5,== Biography == | === Rocky series ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Montage_(filmmaking),training montage,532,4,0.999998863520708,0.0,5,5,== Biography == | === Rocky series ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Montage_(filmmaking),training montage,532,4,0.999998863520708,0.0,5,5,== Biography == | === Rocky series ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Montage_(filmmaking),training montage,532,4,0.999998863520708,0.0,5,5,== Biography == | === Rocky series ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Montage_(filmmaking),training montage,532,4,0.999998863520708,0.0,5,5,== Biography == | === Rocky series ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Montage_(filmmaking),training montage,532,4,0.999998863520708,0.0,5,5,== Biography == | === Rocky series ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Montage_(filmmaking),training montage,532,4,0.999998863520708,0.0,5,5,== Biography == | === Rocky series ===
http://dbpedia.org/class/yago/Invention105633385,http://dbpedia.org/resource/Montage_(filmmaking),training montage,532,4,0.999998863520708,0.0,5,5,== Biography == | === Rocky series ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Montage_(filmmaking),training montage,532,4,0.999998863520708,0.0,5,5,== Biography == | === Rocky series ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Montage_(filmmaking),training montage,532,4,0.999998863520708,0.0,5,5,== Biography == | === Rocky series ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Montage_(filmmaking),training montage,532,4,0.999998863520708,0.0,5,5,== Biography == | === Rocky series ===
http://dbpedia.org/class/yago/Technique105665146,http://dbpedia.org/resource/Montage_(filmmaking),training montage,532,4,0.999998863520708,0.0,5,5,== Biography == | === Rocky series ===
http://dbpedia.org/class/yago/WikicatFilmTechniques,http://dbpedia.org/resource/Montage_(filmmaking),training montage,532,4,0.999998863520708,0.0,5,5,== Biography == | === Rocky series ===
http://dbpedia.org/class/yago/WikicatSovietInventions,http://dbpedia.org/resource/Montage_(filmmaking),training montage,532,4,0.999998863520708,0.0,5,5,== Biography == | === Rocky series ===
