types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/WikicatAnarchists,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/WikicatCollectivistAnarchists,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/WikicatLibertarianSocialists,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/WikicatPeopleFromLondon,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/Anarchist109791816,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/Philosopher110423589,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/Politician110450303,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/Radical110503452,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/James_Guillaume,Guillaume,37,80,0.4481245907822836,0.7184649924853292,2,9,== Music career == | === Songs ===
