types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/San_Serriffe,San Serriffe,18,190,1.0,0.0,2,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/San_Serriffe,San Serriffe,18,190,1.0,0.0,2,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/San_Serriffe,San Serriffe,18,190,1.0,0.0,2,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Deception100752431,http://dbpedia.org/resource/San_Serriffe,San Serriffe,18,190,1.0,0.0,2,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/San_Serriffe,San Serriffe,18,190,1.0,0.0,2,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Falsification100751145,http://dbpedia.org/resource/San_Serriffe,San Serriffe,18,190,1.0,0.0,2,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Fraud100753685,http://dbpedia.org/resource/San_Serriffe,San Serriffe,18,190,1.0,0.0,2,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/WikicatHoaxesInTheUnitedKingdom,http://dbpedia.org/resource/San_Serriffe,San Serriffe,18,190,1.0,0.0,2,39,== Personal life == | === Humor ===
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/resource/San_Serriffe,San Serriffe,18,190,1.0,0.0,2,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/WikicatJournalisticHoaxes,http://dbpedia.org/resource/San_Serriffe,San Serriffe,18,190,1.0,0.0,2,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Trickery100752954,http://dbpedia.org/resource/San_Serriffe,San Serriffe,18,190,1.0,0.0,2,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Wikicat20th-centuryHoaxes,http://dbpedia.org/resource/San_Serriffe,San Serriffe,18,190,1.0,0.0,2,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/San_Serriffe,San Serriffe,18,190,1.0,0.0,2,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Wrongdoing100732746,http://dbpedia.org/resource/San_Serriffe,San Serriffe,18,190,1.0,0.0,2,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/San_Serriffe,San Serriffe,18,190,1.0,0.0,2,39,== Personal life == | === Humor ===
