types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Medon,Medon,54,99,0.9999998870930604,0.0,17,15,== Life == | === Later life ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Medon,Medon,54,99,0.9999998870930604,0.0,17,15,== Life == | === Later life ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Medon,Medon,54,99,0.9999998870930604,0.0,17,15,== Life == | === Later life ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Medon,Medon,54,99,0.9999998870930604,0.0,17,15,== Life == | === Later life ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Medon,Medon,54,99,0.9999998870930604,0.0,17,15,== Life == | === Later life ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Medon,Medon,54,99,0.9999998870930604,0.0,17,15,== Life == | === Later life ===
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Medon,Medon,54,99,0.9999998870930604,0.0,17,15,== Life == | === Later life ===
http://dbpedia.org/class/yago/WikicatCharactersInBookVIOfTheAeneid,http://dbpedia.org/resource/Medon,Medon,54,99,0.9999998870930604,0.0,17,15,== Life == | === Later life ===
http://dbpedia.org/class/yago/WikicatCharactersInTheAeneid,http://dbpedia.org/resource/Medon,Medon,54,99,0.9999998870930604,0.0,17,15,== Life == | === Later life ===
http://dbpedia.org/class/yago/WikicatCharactersInTheIliad,http://dbpedia.org/resource/Medon,Medon,54,99,0.9999998870930604,0.0,17,15,== Life == | === Later life ===
http://dbpedia.org/class/yago/WikicatCharactersInTheOdyssey,http://dbpedia.org/resource/Medon,Medon,54,99,0.9999998870930604,0.0,17,15,== Life == | === Later life ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Medon,Medon,54,99,0.9999998870930604,0.0,17,15,== Life == | === Later life ===
