types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Building,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Dwelling103259505,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/House103544360,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Housing103546340,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Mansion103719053,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Palace103878066,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatNomadicGroupsInEurasia,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatPalaces,http://dbpedia.org/resource/Orda_(organization),orda,154,10,0.9936281300345928,0.0,1,14,== Discography == | === Albums ===
