types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/WikicatScientists,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Engineer109615807,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Scientist110560637,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/WikicatFictionalAmericanPeople,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/WikicatFictionalEngineers,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/WikicatFictionalMadScientists,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/WikicatFictionalScientists,http://dbpedia.org/resource/Mad_scientist,Mad scientist,862,28,0.9999999999982804,0.0,0,38,== Bibliography == | === Short stories ===
