types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatWesternPacificSevereTropicalStorms,http://dbpedia.org/resource/Tropical_Storm_Washi,Typhoon Sendong,66,215,1.0,0.0,0,12,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Windstorm111527014,http://dbpedia.org/resource/Tropical_Storm_Washi,Typhoon Sendong,66,215,1.0,0.0,0,12,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/WikicatRetiredPacificTyphoons,http://dbpedia.org/resource/Tropical_Storm_Washi,Typhoon Sendong,66,215,1.0,0.0,0,12,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/AtmosphericPhenomenon111425580,http://dbpedia.org/resource/Tropical_Storm_Washi,Typhoon Sendong,66,215,1.0,0.0,0,12,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Cyclone111443721,http://dbpedia.org/resource/Tropical_Storm_Washi,Typhoon Sendong,66,215,1.0,0.0,0,12,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Hurricane111467018,http://dbpedia.org/resource/Tropical_Storm_Washi,Typhoon Sendong,66,215,1.0,0.0,0,12,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/NaturalPhenomenon111408559,http://dbpedia.org/resource/Tropical_Storm_Washi,Typhoon Sendong,66,215,1.0,0.0,0,12,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Phenomenon100034213,http://dbpedia.org/resource/Tropical_Storm_Washi,Typhoon Sendong,66,215,1.0,0.0,0,12,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Tropical_Storm_Washi,Typhoon Sendong,66,215,1.0,0.0,0,12,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/PhysicalPhenomenon111419404,http://dbpedia.org/resource/Tropical_Storm_Washi,Typhoon Sendong,66,215,1.0,0.0,0,12,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Process100029677,http://dbpedia.org/resource/Tropical_Storm_Washi,Typhoon Sendong,66,215,1.0,0.0,0,12,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Storm111462526,http://dbpedia.org/resource/Tropical_Storm_Washi,Typhoon Sendong,66,215,1.0,0.0,0,12,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Typhoon111521145,http://dbpedia.org/resource/Tropical_Storm_Washi,Typhoon Sendong,66,215,1.0,0.0,0,12,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/WikicatTyphoonsInThePhilippines,http://dbpedia.org/resource/Tropical_Storm_Washi,Typhoon Sendong,66,215,1.0,0.0,0,12,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/WikicatTyphoonsInThePhilippines(2011),http://dbpedia.org/resource/Tropical_Storm_Washi,Typhoon Sendong,66,215,1.0,0.0,0,12,== Personal life == | === Activism ===
