types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Spec_script,spec scripts,357,53,1.0,0.0,6,6,== Career == | === Grateful Dead ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Spec_script,spec scripts,357,53,1.0,0.0,6,6,== Career == | === Grateful Dead ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Spec_script,spec scripts,357,53,1.0,0.0,6,6,== Career == | === Grateful Dead ===
http://dbpedia.org/class/yago/WikicatScreenplays,http://dbpedia.org/resource/Spec_script,spec scripts,357,53,1.0,0.0,6,6,== Career == | === Grateful Dead ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Spec_script,spec scripts,357,53,1.0,0.0,6,6,== Career == | === Grateful Dead ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Spec_script,spec scripts,357,53,1.0,0.0,6,6,== Career == | === Grateful Dead ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Spec_script,spec scripts,357,53,1.0,0.0,6,6,== Career == | === Grateful Dead ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Spec_script,spec scripts,357,53,1.0,0.0,6,6,== Career == | === Grateful Dead ===
http://dbpedia.org/class/yago/DramaticComposition107007684,http://dbpedia.org/resource/Spec_script,spec scripts,357,53,1.0,0.0,6,6,== Career == | === Grateful Dead ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Spec_script,spec scripts,357,53,1.0,0.0,6,6,== Career == | === Grateful Dead ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Spec_script,spec scripts,357,53,1.0,0.0,6,6,== Career == | === Grateful Dead ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Spec_script,spec scripts,357,53,1.0,0.0,6,6,== Career == | === Grateful Dead ===
http://dbpedia.org/class/yago/Screenplay107012279,http://dbpedia.org/resource/Spec_script,spec scripts,357,53,1.0,0.0,6,6,== Career == | === Grateful Dead ===
http://dbpedia.org/class/yago/Script107009946,http://dbpedia.org/resource/Spec_script,spec scripts,357,53,1.0,0.0,6,6,== Career == | === Grateful Dead ===
http://dbpedia.org/class/yago/Technique105665146,http://dbpedia.org/resource/Spec_script,spec scripts,357,53,1.0,0.0,6,6,== Career == | === Grateful Dead ===
http://dbpedia.org/class/yago/WikicatFilmTechniques,http://dbpedia.org/resource/Spec_script,spec scripts,357,53,1.0,0.0,6,6,== Career == | === Grateful Dead ===
